                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.32316,                0.48632,                 1.0411,                0.67309,                0.80659,                0.88218,                0.77224,                0.63509,                 1.0905,                  1.443,             5.5991e-05,             5.5991e-05,             5.5991e-05
                     87,                0.30586,                0.44328,                 1.0175,                0.60571,                0.87119,                0.89868,                 0.7701,                0.69086,                 1.0554,                 1.5402,             5.5884e-05,             5.5884e-05,             5.5884e-05
                     88,                0.32645,                0.46237,                 1.0415,                0.75295,                0.76002,                0.89115,                0.78442,                0.63252,                0.98345,                 1.4118,             5.5776e-05,             5.5776e-05,             5.5776e-05
                     89,                0.31615,                0.46891,                 1.0306,                0.81316,                0.75537,                0.87644,                0.75211,                0.65512,                 1.0227,                 1.5171,             5.5669e-05,             5.5669e-05,             5.5669e-05
                     90,                0.30544,                0.45339,                 1.0142,                0.65888,                0.81139,                0.87981,                0.77954,                0.58607,                 1.1155,                 1.3498,             5.5562e-05,             5.5562e-05,             5.5562e-05
                     91,                0.31627,                0.44064,                 1.0257,                0.76556,                0.73959,                0.87254,                0.76908,                 0.6162,                 1.0884,                 1.4151,             5.5455e-05,             5.5455e-05,             5.5455e-05
                     92,                0.32017,                 0.4541,                 1.0222,                0.84952,                0.66036,                0.88913,                0.77678,                0.62398,                  1.147,                 1.4344,             5.5347e-05,             5.5347e-05,             5.5347e-05
                     93,                0.32115,                0.46341,                 1.0249,                 0.7139,                0.79311,                0.88034,                0.76076,                0.64886,                 1.0664,                 1.4842,              5.524e-05,              5.524e-05,              5.524e-05
                     94,                0.30744,                 0.4445,                 1.0237,                0.73915,                0.76481,                 0.8819,                0.76899,                0.62924,                  1.052,                 1.4352,             5.5133e-05,             5.5133e-05,             5.5133e-05
                     95,                 0.3027,                0.42712,                 1.0105,                0.74952,                0.78504,                0.89056,                0.78044,                0.61576,                0.98128,                 1.3912,             5.5026e-05,             5.5026e-05,             5.5026e-05
                     96,                0.30399,                0.43687,                 1.0138,                0.80832,                0.73018,                0.89211,                0.78832,                0.61659,                 1.0886,                  1.385,             5.4918e-05,             5.4918e-05,             5.4918e-05
                     97,                0.30135,                0.42304,                 1.0148,                0.76391,                0.74933,                0.87933,                0.75161,                0.67017,                 1.1555,                  1.534,             5.4811e-05,             5.4811e-05,             5.4811e-05
                     98,                0.32383,                0.44362,                 1.0244,                0.67358,                0.79942,                0.89335,                0.77228,                0.65008,                 1.0772,                 1.4836,             5.4704e-05,             5.4704e-05,             5.4704e-05
                     99,                0.30791,                0.44565,                 1.0262,                0.78597,                0.73648,                 0.8931,                0.77147,                0.64956,                 1.0813,                   1.45,             5.4597e-05,             5.4597e-05,             5.4597e-05
                    100,                0.30766,                0.41751,                  1.017,                0.70092,                0.78702,                0.87911,                 0.7717,                0.63547,                 1.0743,                 1.4494,              5.449e-05,              5.449e-05,              5.449e-05
                    101,                0.29593,                0.41984,                 1.0146,                0.71714,                0.76988,                0.87921,                0.76652,                0.62394,                 1.0754,                 1.4134,             5.4382e-05,             5.4382e-05,             5.4382e-05
